datetime,line,direction,busA,busB,hw_pos,headway,busB_ttls
2021-02-15 15:06:44.345091700,18,1,0,BF67GKO,0,0,137
2021-02-15 15:06:44.345091700,18,1,BF67GKO,BF67GMO,1,918,1055
2021-02-15 15:06:44.345091700,18,1,BF67GMO,LJ15JZC,2,616,1671
2021-02-15 15:06:44.345091700,18,1,LJ15JZC,BF67GMY,3,-1412,259
2021-02-15 15:06:44.345091700,18,1,BF67GMY,BF67GLY,4,485,744
2021-02-15 15:06:44.345091700,18,1,BF67GLY,LJ15JZD,5,1190,1934
2021-02-15 15:06:44.345091700,18,1,LJ15JZD,BF67GKL,6,-19,1915
2021-02-15 15:06:44.345091700,18,1,BF67GKL,BF67GKJ,7,-237,1677
2021-02-15 15:06:44.345091700,18,1,BF67GKJ,LJ66TSU,8,671,2349
2021-02-15 15:06:44.345091700,18,2,0,BF67GNU,0,0,493
2021-02-15 15:06:44.345091700,18,2,BF67GNU,BF67GKP,1,-11,482
2021-02-15 15:06:44.345091700,18,2,BF67GKP,BF67GNK,2,204,686
2021-02-15 15:06:44.345091700,18,2,BF67GNK,BF67GLZ,3,2,688
2021-02-15 15:06:44.345091700,18,2,BF67GLZ,LJ16EWZ,4,625,1313
2021-02-15 15:06:44.345091700,18,2,LJ16EWZ,BF67GMX,5,249,1562
2021-02-15 15:06:44.345091700,18,2,BF67GMX,LJ16EWF,6,215,1778
2021-02-15 15:06:44.345091700,18,2,LJ16EWF,BF67GKD,7,1154,2933
2021-02-15 15:06:44.345091700,18,2,BF67GKD,LJ16EWG,8,-51,2881
2021-02-15 15:06:44.345091700,18,2,LJ16EWG,BF67GNN,9,133,3015
2021-02-15 15:06:44.345091700,18,2,BF67GNN,BF67GKZ,10,134,3149
2021-02-15 15:06:44.345091700,18,2,BF67GKZ,BF67GMV,11,122,3272
2021-02-15 15:06:44.345091700,18,2,BF67GMV,BF67GKY,12,347,3619
2021-02-15 15:06:41.657710700,25,1,0,SK20AXX,0,0,292
2021-02-15 15:06:41.657710700,25,1,SK20AXX,SK20AZC,1,329,621
2021-02-15 15:06:41.657710700,25,1,SK20AZC,SK20AYB,2,796,1418
2021-02-15 15:06:41.657710700,25,1,SK20AYB,SK20BDO,3,252,1671
2021-02-15 15:06:41.657710700,25,1,SK20BDO,SK20AXV,4,565,2237
2021-02-15 15:06:41.657710700,25,1,SK20AXV,SK20AZA,5,465,2702
2021-02-15 15:06:41.657710700,25,1,SK20AZA,SK20AXU,6,289,2991
2021-02-15 15:06:41.657710700,25,1,SK20AXU,SK20AXZ,7,526,3517
2021-02-15 15:06:41.657710700,25,1,SK20AXZ,SK20AYW,8,626,4144
2021-02-15 15:06:41.657710700,25,2,0,SK20BCV,0,0,261
2021-02-15 15:06:41.657710700,25,2,SK20BCV,SK20AYZ,1,994,1256
2021-02-15 15:06:41.657710700,25,2,SK20AYZ,SK20AYV,2,659,1916
2021-02-15 15:06:41.657710700,25,2,SK20AYV,SK20AYF,3,245,2161
2021-02-15 15:06:41.657710700,25,2,SK20AYF,SK20BDX,4,494,2655
2021-02-15 15:06:41.657710700,25,2,SK20BDX,SK20AXY,5,442,3098
2021-02-15 15:06:41.657710700,25,2,SK20AXY,SK20BCE,6,240,3339
2021-02-15 15:06:41.657710700,25,2,SK20BCE,SK20BCU,7,704,4043
2021-02-15 15:06:41.657710700,25,2,SK20BCU,SK20AZJ,8,422,4465
2021-02-15 15:06:41.657710700,25,2,SK20AZJ,SK20AXW,9,317,4782
